Disp,comp_str,R_max,EnvNoiseSigma,FalseAbsenceFrac,Repeat,RunID,RunName,S_global,Occ_thresh,comp_conn
1e-5,0.3,5,0.001,0,A,1,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0,A,2,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0,A,3,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0,A,4,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0,A,5,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0,A,6,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0,A,7,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0,A,8,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0,A,9,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0,A,10,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0,A,11,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0,A,12,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0,A,13,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0,A,14,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0,A,15,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0,A,16,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.001,0,A,17,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0,A,18,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0,A,19,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0,A,20,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0,A,21,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0,A,22,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0,A,23,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0,A,24,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0,A,25,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0,A,26,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0,A,27,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.01,0,A,28,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.01,0,A,29,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.01,0,A,30,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.01,0,A,31,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.01,0,A,32,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.01,0,A,33,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.01,0,A,34,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.01,0,A,35,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.01,0,A,36,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.01,0,A,37,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.01,0,A,38,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.01,0,A,39,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.01,0,A,40,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.01,0,A,41,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.01,0,A,42,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.01,0,A,43,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.01,0,A,44,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.01,0,A,45,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.01,0,A,46,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.01,0,A,47,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.01,0,A,48,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.01,0,A,49,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.01,0,A,50,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.01,0,A,51,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.01,0,A,52,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.01,0,A,53,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.01,0,A,54,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.1,0,A,55,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.1,0,A,56,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.1,0,A,57,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.1,0,A,58,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.1,0,A,59,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.1,0,A,60,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.1,0,A,61,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.1,0,A,62,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.1,0,A,63,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.1,0,A,64,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.1,0,A,65,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0,A,66,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0,A,67,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0,A,68,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0,A,69,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0,A,70,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0,A,71,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0,A,72,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0,A,73,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0,A,74,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0,A,75,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0,A,76,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0,A,77,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0,A,78,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0,A,79,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0,A,80,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0,A,81,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0.05,A,82,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0.05,A,83,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0.05,A,84,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0.05,A,85,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0.05,A,86,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0.05,A,87,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0.05,A,88,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0.05,A,89,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0.05,A,90,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0.05,A,91,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0.05,A,92,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0.05,A,93,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0.05,A,94,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0.05,A,95,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0.05,A,96,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0.05,A,97,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.001,0.05,A,98,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0.05,A,99,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0.05,A,100,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0.05,A,101,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0.05,A,102,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0.05,A,103,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0.05,A,104,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0.05,A,105,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0.05,A,106,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0.05,A,107,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0.05,A,108,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.01,0.05,A,109,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.01,0.05,A,110,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.01,0.05,A,111,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.01,0.05,A,112,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.01,0.05,A,113,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.01,0.05,A,114,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.01,0.05,A,115,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.01,0.05,A,116,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.01,0.05,A,117,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.01,0.05,A,118,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.01,0.05,A,119,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.01,0.05,A,120,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.01,0.05,A,121,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.01,0.05,A,122,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.01,0.05,A,123,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.01,0.05,A,124,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.01,0.05,A,125,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.01,0.05,A,126,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.01,0.05,A,127,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.01,0.05,A,128,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.01,0.05,A,129,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.01,0.05,A,130,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.01,0.05,A,131,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.01,0.05,A,132,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.01,0.05,A,133,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.01,0.05,A,134,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.01,0.05,A,135,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.1,0.05,A,136,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.1,0.05,A,137,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.1,0.05,A,138,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.1,0.05,A,139,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.1,0.05,A,140,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.1,0.05,A,141,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.1,0.05,A,142,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.1,0.05,A,143,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.1,0.05,A,144,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.1,0.05,A,145,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.1,0.05,A,146,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0.05,A,147,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0.05,A,148,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0.05,A,149,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0.05,A,150,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0.05,A,151,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0.05,A,152,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0.05,A,153,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0.05,A,154,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0.05,A,155,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0.05,A,156,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0.05,A,157,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0.05,A,158,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0.05,A,159,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0.05,A,160,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0.05,A,161,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0.05,A,162,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0.1,A,163,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0.1,A,164,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0.1,A,165,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0.1,A,166,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0.1,A,167,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0.1,A,168,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0.1,A,169,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0.1,A,170,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0.1,A,171,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0.1,A,172,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0.1,A,173,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0.1,A,174,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0.1,A,175,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0.1,A,176,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0.1,A,177,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0.1,A,178,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.001,0.1,A,179,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0.1,A,180,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0.1,A,181,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0.1,A,182,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0.1,A,183,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0.1,A,184,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0.1,A,185,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0.1,A,186,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0.1,A,187,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0.1,A,188,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0.1,A,189,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.01,0.1,A,190,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.01,0.1,A,191,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.01,0.1,A,192,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.01,0.1,A,193,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.01,0.1,A,194,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.01,0.1,A,195,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.01,0.1,A,196,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.01,0.1,A,197,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.01,0.1,A,198,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.01,0.1,A,199,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.01,0.1,A,200,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.01,0.1,A,201,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.01,0.1,A,202,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.01,0.1,A,203,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.01,0.1,A,204,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.01,0.1,A,205,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.01,0.1,A,206,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.01,0.1,A,207,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.01,0.1,A,208,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.01,0.1,A,209,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.01,0.1,A,210,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.01,0.1,A,211,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.01,0.1,A,212,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.01,0.1,A,213,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.01,0.1,A,214,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.01,0.1,A,215,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.01,0.1,A,216,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.1,0.1,A,217,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.1,0.1,A,218,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.1,0.1,A,219,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.1,0.1,A,220,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.1,0.1,A,221,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.1,0.1,A,222,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.1,0.1,A,223,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.1,0.1,A,224,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.1,0.1,A,225,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.1,0.1,A,226,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.1,0.1,A,227,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0.1,A,228,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0.1,A,229,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0.1,A,230,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0.1,A,231,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0.1,A,232,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0.1,A,233,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0.1,A,234,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0.1,A,235,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0.1,A,236,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0.1,A,237,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0.1,A,238,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0.1,A,239,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0.1,A,240,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0.1,A,241,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0.1,A,242,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0.1,A,243,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0.2,A,244,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0.2,A,245,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.001,0.2,A,246,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.001,0.2,A,247,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.001,0.2,A,248,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.001,0.2,A,249,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.001,0.2,A,250,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.001,0.2,A,251,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.001,0.2,A,252,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.001,0.2,A,253,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.001,0.2,A,254,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.001,0.2,A,255,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.001,0.2,A,256,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.001,0.2,A,257,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.001,0.2,A,258,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.001,0.2,A,259,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.001,0.2,A,260,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.001,0.2,A,261,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.001,0.2,A,262,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.001,0.2,A,263,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.001,0.2,A,264,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.001,0.2,A,265,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.001,0.2,A,266,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.001,0.2,A,267,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.001,0.2,A,268,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.001,0.2,A,269,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.001,0.2,A,270,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.01,0.2,A,271,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.01,0.2,A,272,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.01,0.2,A,273,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.01,0.2,A,274,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.01,0.2,A,275,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.01,0.2,A,276,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.01,0.2,A,277,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.01,0.2,A,278,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.01,0.2,A,279,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.01,0.2,A,280,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.01,0.2,A,281,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.01,0.2,A,282,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.01,0.2,A,283,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.01,0.2,A,284,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.01,0.2,A,285,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.01,0.2,A,286,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.01,0.2,A,287,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.01,0.2,A,288,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.01,0.2,A,289,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.01,0.2,A,290,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.01,0.2,A,291,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.01,0.2,A,292,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.01,0.2,A,293,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.01,0.2,A,294,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.01,0.2,A,295,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.01,0.2,A,296,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.01,0.2,A,297,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.1,0.2,A,298,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.1,0.2,A,299,TrialObsQual,50,0.1,0.01
0.001,0.3,5,0.1,0.2,A,300,TrialObsQual,50,0.1,0.01
1e-5,0.8,5,0.1,0.2,A,301,TrialObsQual,50,0.1,0.01
1e-4,0.8,5,0.1,0.2,A,302,TrialObsQual,50,0.1,0.01
0.001,0.8,5,0.1,0.2,A,303,TrialObsQual,50,0.1,0.01
1e-5,1.1,5,0.1,0.2,A,304,TrialObsQual,50,0.1,0.01
1e-4,1.1,5,0.1,0.2,A,305,TrialObsQual,50,0.1,0.01
0.001,1.1,5,0.1,0.2,A,306,TrialObsQual,50,0.1,0.01
1e-5,0.3,20,0.1,0.2,A,307,TrialObsQual,50,0.1,0.01
1e-4,0.3,20,0.1,0.2,A,308,TrialObsQual,50,0.1,0.01
0.001,0.3,20,0.1,0.2,A,309,TrialObsQual,50,0.1,0.01
1e-5,0.8,20,0.1,0.2,A,310,TrialObsQual,50,0.1,0.01
1e-4,0.8,20,0.1,0.2,A,311,TrialObsQual,50,0.1,0.01
0.001,0.8,20,0.1,0.2,A,312,TrialObsQual,50,0.1,0.01
1e-5,1.1,20,0.1,0.2,A,313,TrialObsQual,50,0.1,0.01
1e-4,1.1,20,0.1,0.2,A,314,TrialObsQual,50,0.1,0.01
0.001,1.1,20,0.1,0.2,A,315,TrialObsQual,50,0.1,0.01
1e-5,0.3,40,0.1,0.2,A,316,TrialObsQual,50,0.1,0.01
1e-4,0.3,40,0.1,0.2,A,317,TrialObsQual,50,0.1,0.01
0.001,0.3,40,0.1,0.2,A,318,TrialObsQual,50,0.1,0.01
1e-5,0.8,40,0.1,0.2,A,319,TrialObsQual,50,0.1,0.01
1e-4,0.8,40,0.1,0.2,A,320,TrialObsQual,50,0.1,0.01
0.001,0.8,40,0.1,0.2,A,321,TrialObsQual,50,0.1,0.01
1e-5,1.1,40,0.1,0.2,A,322,TrialObsQual,50,0.1,0.01
1e-4,1.1,40,0.1,0.2,A,323,TrialObsQual,50,0.1,0.01
0.001,1.1,40,0.1,0.2,A,324,TrialObsQual,50,0.1,0.01
1e-5,0.3,5,0.001,0,B,325,TrialObsQual,50,0.1,0.01
1e-4,0.3,5,0.001,0,B,326,TrialObsQual,50,0.1,0.01
